title,rating,year,actors,runtime,url,languages
A Raisin in the Sun,8.0,1961,Sidney Poitier;Claudia McNeil;Ruby Dee;Diana Sands,128,https://www.imdb.com//title/tt0055353/,English
Seppuku,8.6,1962,Tatsuya Nakadai;Akira Ishihama;Shima Iwashita;Tetsurô Tanba,133,https://www.imdb.com//title/tt0056058/,Japanese
Il sorpasso,8.3,1962,Vittorio Gassman;Jean-Louis Trintignant;Catherine Spaak;Claudio Gora,105,https://www.imdb.com//title/tt0056512/,Italian;Latin;German;English;Arabic
Lawrence of Arabia,8.3,1962,Peter O'Toole;Alec Guinness;Anthony Quinn;Jack Hawkins,228,https://www.imdb.com//title/tt0056172/,English;Arabic;Turkish
To Kill a Mockingbird,8.3,1962,Gregory Peck;John Megna;Frank Overton;Rosemary Murphy,129,https://www.imdb.com//title/tt0056592/,English
An Autumn Afternoon,8.1,1962,Chishû Ryû;Shima Iwashita;Keiji Sada;Mariko Okada,113,https://www.imdb.com//title/tt0056444/,Japanese
Tengoku to jigoku,8.4,1963,Toshirô Mifune;Yutaka Sada;Tatsuya Nakadai;Kyôko Kagawa,143,https://www.imdb.com//title/tt0057565/,Japanese
The Great Escape,8.2,1963,Steve McQueen;James Garner;Richard Attenborough;Charles Bronson,172,https://www.imdb.com//title/tt0057115/,English;German;French;Russian;Spanish
Nattvardsgästerna,8.1,1963,Ingrid Thulin;Gunnar Björnstrand;Gunnel Lindblom;Max von Sydow,81,https://www.imdb.com//title/tt0057358/,Swedish
8½,8.0,1963,Marcello Mastroianni;Anouk Aimée;Claudia Cardinale;Sandra Milo,138,https://www.imdb.com//title/tt0056801/,Italian;French;English;German
El verdugo,8.0,1963,Nino Manfredi;Emma Penella;José Isbert;José Luis López Vázquez,87,https://www.imdb.com//title/tt0057643/,Spanish
De vrouw in het zand,8.5,1964,Eiji Okada;Kyôko Kishida;Hiroko Itô;Kôji Mitsui,147,https://www.imdb.com//title/tt0058625/,Japanese
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.4,1964,Peter Sellers;George C. Scott;Sterling Hayden;Keenan Wynn,95,https://www.imdb.com//title/tt0057012/,English;Russian
Charulata,8.2,1964,Soumitra Chatterjee;Madhabi Mukherjee;Shailen Mukherjee;Shyamal Ghoshal,117,https://www.imdb.com//title/tt0057935/,Bengali;English
Soy Cuba,8.2,1964,Sergio Corrieri;Salvador Wood;José Gallardo;Raúl García,141,https://www.imdb.com//title/tt0058604/,Spanish;English
A Fistfull of Dollars,8.0,1964,Clint Eastwood;Gian Maria Volontè;Marianne Koch;Wolfgang Lukschy,99,https://www.imdb.com//title/tt0058461/,Italian;Spanish
Operatsiya 'Y' i drugie priklyucheniya Shurika,8.5,1965,Aleksandr Demyanenko;Mikhail Pugovkin;Aleksei Smirnov;Vladimir Basov,91,https://www.imdb.com//title/tt0059550/,Russian
Akahige,8.4,1965,Toshirô Mifune;Yûzô Kayama;Tsutomu Yamazaki;Reiko Dan,185,https://www.imdb.com//title/tt0058888/,Japanese
Guide,8.4,1965,Dev Anand;Waheeda Rehman;Leela Chitnis;Anwar Hussain,183,https://www.imdb.com//title/tt0059246/,Hindi
Het winkeltje aan 't Corso,8.3,1965,Ida Kaminska;Jozef Kroner;Frantisek Zvarík;Hana Slivková,128,https://www.imdb.com//title/tt0059527/,Slovak;Yiddish;German;Latin
Oorlog en Vrede,8.3,1965,Lyudmila Saveleva;Vyacheslav Tikhonov;Sergey Bondarchuk;Boris Zakhava,422,https://www.imdb.com//title/tt0063794/,Russian;German;French
