title,rating,year,actors,runtime,url
Full Metal Jacket,8.3,1987,Matthew Modine;R. Lee Ermey;Vincent D'Onofrio;Adam Baldwin,116,https://www.imdb.com//title/tt0093058/
Chithram,8.6,1988,Mohanlal;Nedumudi Venu;Renjini;Poornam Vishwanathan,159,https://www.imdb.com//title/tt0214585/
Hotaru no haka,8.5,1988,Tsutomu Tatsumi;Ayano Shiraishi;Akemi Yamaguchi;Yoshiko Shinohara,89,https://www.imdb.com//title/tt0095327/
Nuovo Cinema Paradiso,8.5,1988,Philippe Noiret;Enzo Cannavale;Antonella Attili;Isa Danieli,155,https://www.imdb.com//title/tt0095765/
Kireedam,8.8,1989,Mohanlal;Thilakan;Kaviyoor Ponnamma;Parvathi,124,https://www.imdb.com//title/tt0237376/
Uçurtmayi Vurmasinlar,8.4,1989,Ozan Bilen;Nur Sürer;Füsun Demirel;Güzin Özipek,100,https://www.imdb.com//title/tt0098573/
Indiana Jones and the Last Crusade,8.2,1989,Harrison Ford;Sean Connery;Alison Doody;Denholm Elliott,127,https://www.imdb.com//title/tt0097576/
Goodfellas,8.7,1990,Robert De Niro;Ray Liotta;Joe Pesci;Lorraine Bracco,146,https://www.imdb.com//title/tt0099685/
Nema-ye Nazdik,8.3,1990,Hossain Sabzian;Mohsen Makhmalbaf;Abolfazl Ahankhah;Mehrdad Ahankhah,98,https://www.imdb.com//title/tt0100234/
Dances with Wolves,8.0,1990,Kevin Costner;Mary McDonnell;Graham Greene;Rodney A. Grant,181,https://www.imdb.com//title/tt0099348/
The Silence of the Lambs,8.6,1991,Jodie Foster;Anthony Hopkins;Lawrence A. Bonney;Kasi Lemmons,118,https://www.imdb.com//title/tt0102926/
Terminator 2: Judgment Day,8.5,1991,Arnold Schwarzenegger;Linda Hamilton;Edward Furlong;Robert Patrick,137,https://www.imdb.com//title/tt0103064/
Thalapathi,8.5,1991,Rajinikanth;Mammootty;Shobana;Arvind Swamy,157,https://www.imdb.com//title/tt0101649/
